,tweet,asal_tweet
51,Masih aja ada manusia yg g percara covid. Aku udah ga berani kemana mana lho ini cuk!,"Malang, East Java, Indonesia"
52,Namun hingga kini RUU Omnibus Law Cipta Kerja masih saja tetap dimasukkan dalam Prolegnas Senayan dan bahkan ditengah Pandemi Covid-19.,Malang
53,27 orang positif covid-19 di kantor pengadilan agama surabaya 😭 semoga mama gpp 😭,"Malang, Jawa Timur"
54,"Cepat berakhir, covid. Ku butuh liburan :) https://t.co/u9szmLim86",
55,Bersama kita bisa perangi Covid-19!  #BUMNPerangiCovid,"Malang, Jawa Timur"
56,@nirmaaaaa Sakdurunge covid 25 opo 30 yo lali aku,"Malang, Jawa Timur"
57,@MhmdFakhri_ @ArditErwandha yeee garagara covid ini jadi moooondor semoa wkwkwkwk,Malang
58,"Brang pd blm dtg kendala covid shit mana pada komplen-,-","Malang , Jawa Timur"
59,"Polanya sama, seperti tahun lalu. Bedanya tahun ini ada covid, tahun lalu ada km :’)",Madiun - Malang
60,Patas malang - sby tarif covid 50.000 tapi kapasitas penumpang full hehehehe,"Malang, Jawa Timur"
61,@TirtoID Siap menunggu hasil penanganan covid-19 oleh bapak Luhut tersayang~,"Malang, Jawa Timur"
62,"Ya allah mari due majikan fanatik covid, sak iki due majikan fanatik konspirasi wkwk","Malang, Jawa Timur"
63,"Kalo sampe JRXSID udah dipenjara terus angka Covid-19 masih naek siapa yang harus bertanggung jawab???
#BebaskanJRXSID 
🤘","Malang, Jawa Timur"
64,"@masinispesawat iyo pak, ga balek sby a koen? al hikam wes akeh covid lho","Malang, Indonesia"
65,ben onok wong mati messti dikiro covid oalah buk buk🤣,"Malang, Jawa Timur"
66,Jokowi mengatakan pemerintah juga telah memberikan sejumlah bantuan kepada masyarakat di tengah pandemi Covid-19.,"Malang, Jawa Timur"
67,"Politikus PDIP: Pemprov DKI Terlihat Tidak Mampu Membuat Kebijakan Mengatasi Covid-19

#17agustussudahdekat https://t.co/569lUIE2RS","Malang, Jawa Timur"
68,Kementerian Perdagangan mengungkapkan adanya kabar baik di tengah pandemi Covid-19 yang telah memukul perekonomian global.,"Malang, Jawa Timur"
69,"dan tentunya terkat dengan Covid segera bisa diputus penyebarannya dan kita semua kembali kepada hal yang normal,"" tutup Gatot.","Malang, Jawa Timur"
70,"Tak kasih tau cara paling mudah menurunkan angka positif covid-19...

Gak usah tes tes an. Dijamin langsung nol.",Bojonegoro - Malang
71,@AGirindraW Apakah ini berhubungan dengan covid 19,Malang
72,Jujur gak setuju kalo pasien positif covid dirahasiakan di lingkungan kantor. 😟,Malang
73,@adwin0354 diem koas covid gak tau rssa,"Kota Malang, Jawa Timur"
74,3 Rekomendasi itu efektif mencegah penularan covid-19.,Malang
75,Wak lakok akeh seng kenek covid tonggo e arek2,"Malang, Indonesia"
76,"@dabudabu6969 @KompasTV Ga masup deh menurutku, dengan dia ditahan ato engga banyak yg masi bodo amat sm covid.","Kota Malang, Jawa Timur"
77,"""biayanya segini xxxxx, kalo gabisa bayar bisa saja gratis asal ttd di surat pernyataan bahwa pasien mninggal karna covid""","Malang, Jawa Timur"
78,covid hilang kita berantem yuk,"Malang, Jawa Timur"
79,"@detikcom Baca komennya emosi bawaannya hmmm,, skli kali aja ke rs "" tour"" biar tau gambaran efek covid gimana hmmm",Denpasar - Malang
80,"Bioskop covid dadakan, macam tahu bulett digoreng dadakan https://t.co/PqciZlleIn",Malang Indonesia
81,"@KadalArisan Vid covid,mole ws bengi le,kesok maneh","Kota Malang, Jawa Timur"
82,Gais aku mau ke koreaaaaa. Ada yg mau ikut? Beli tiketnya skrg berangkatnya nunggu covid kelar.,"Malang, Jawa Timur"
83,"halo broo @FirstMediaCares .anda tau JANCOK a? yo kon iku jancok. seminggu lemot, jaringamu kena covid-19 ta broo??? cok","Malang, indonesia"
84,@tempodotco 289 hasil tes swab semua? Klo cm rapid2an gk bs vonis covid dong...,"malang, east java"
85,"@cintatha3 Amin...
Terima kasih, mbak e
 🙏🙏, Bantu doa buat usaha kecil-kecilan peyek saya.. di tengah pandemi Covid 19.
Terima kasih...",Malang Jawa timur
86,"betapapun tidak masuk akalnya pendapat jerinx tentang Covid-19, ia tidak pantas dan tidak boleh dipenjara karena pendapat yang berbeda.","Malang, Jawa Timur"
87,"Berangkat ke New Zealand diundur2 krn covid ni, portal blm dibuka juga",Malang
88,tingkat depresi  mahasiswa ketika dituntut untuk menyelesaikan studi tepat waktu dan menghasilkan uang di tengah pandemi covid 19,malang
89,"@Coolkidzeke @detikcom @tirta_hudhi @detikhot Masih percaya covid..?
Anda lebih bodoh ketimbang jerinx..","Malang, Jawa Timur"
90,"@e100ss sama sekali gk setuju. kecuali ada kebijakan jaminan yg sekolah bebas Covid 19, dan itu didanai pemerintah ya monggo",Malang
91,Dampak positif covid: bisa bangun siang,Malang
92,Meskipun saya ga suka pendapatnya tentang covid.,"Kota Malang, Jawa Timur"
93,@baesnuna Dia orang yg slalu berdebat Covid-19 itu konspirasi dan ngajak masyarakat gk pake masker sampe ngadain demo di Bali gitu,"Malang, Jawa Timur"
94,Semoga indonesia lepas dr covid 19 amiennn https://t.co/H51an1cPif,Malang- Jawa timur
95,@MalangHumas sehat itu adalah untuk kita lawan covid-19 #PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
96,@MalangHumas cegah penularan covid-19 dengan... #PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
97,Sudah bosan dengan narativ covid yang membuat orang buntu 😅,Malang
98,@MalangHumas sehat itu adalah untuk kita lawan covid-19 #PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
99,@MalangHumas cegah penularan covid-19 dengan... #PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
100,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
101,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
102,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
103,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
104,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
105,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Malang, Jawa Timur"
106,"@ngalamfess mungkin anda berpikir terlalu negatif, bisa saja ybs ingin mengajak anda untuk menguak konspirasi covid 19 🙏","Malang, Jawa Timur"
107,"Maringene onok kota sing bakal akeh positif covid e, gara2 akeh wong goblok metu ramean 🤭","Malang, Jawa Timur"
108,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
109,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
110,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
111,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
112,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
113,"@MalangHumas #BaktiSosialPolwan
Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid-19","Kota Malang, Jawa Timur"
114,"Covid has for the first time, really hit way too close from home","Malang, Jawa Timur"
115,"dan semalem ada keluarga pasien yang nungguin ambulan covid sambil ngopi deket rumah, sangking kosonge ambulan dan kudu nunggu lama.","Malang, Jawa Timur"
116,"aku tadi mau ke perpus rs, pas udah di depan tempatnya baru inget itu rs jadi rujukan utama covid huhu langsung balik lagi:)","Kota Malang, Jawa Timur"
117,"gara-gara covid jadi banyak join seminar online, tapi habis join komputernya aku tinggal balik lagi pas absen 😭🙏",Malang
118,@jawafess Gak menisan nglencer bareng pasien confirm covid-19 ae pak bu :'),"Malang, Jawa Timur"
119,"@bicheesse Wingenane, gawe protokol covid. Makane gaono sg ngerti.","Malang, Jawa Timur"
120,@MalangHumas cegah penularan covid-19 dengan... #PolriSerukanCuciTangan,"Malang, Jawa Timur"
121,@MalangHumas cegah penularan covid-19 dengan... #PolriSerukanCuciTangan,"Malang, Jawa Timur"
122,hbs maen keluar trs tenggorokan sakit &amp; mata panas dikit lgsg tkut bgt kirain covid. gatau aja klo kebanyakan es &amp; maen hp,"Malang, Jawa Timur"
123,kenapa setiap gua abis jalan tb tb covid naik lagi 😅,"Kota Malang, Jawa Timur"
124,"Ngomong"" penjualan mobil Esemka di masa covid gini meroket apa anjlok ya, bagi info Donk yg tahu.@msaid_didu","Malang, Jawa Timur"
125,@jawafess Satgas covid mek gae formalitas tok,"Malang, Jawa Timur"
126,@blogdokter Padahal saya berharap dokter mengurangi bicara covid karena emang udah ga ada. Bukan karena lelah.. Huhu,MALANG
127,From Covid-19 isolation room for swab test day 2 https://t.co/z4qwh2wb4I,Malang
128,"Saya kecewa dengan Media yang membuat Artikel dan meliput berita INews,Tribunnews,Kompas Tv. Sekali lagi Ayah saya BUKAN JENAZAH COVID-19!","Malang, Jawa Timur"
129,"Apakah berjemur dapat membunuh COVID 19. Apakh betul ges kuuu, kuy pelajari lebih dalam dengan baca post di atass!!!","Malang, Jawa Timur"
130,"[ 31 hari tantangan #SiapAdaptasi]

[Hoax Buster : Berjemur saja dapat menyembuhkan COVID 19??] https://t.co/V8FbQFmpIk","Malang, Jawa Timur"
131,2020 (Covid-19) -&gt; Balapan Rabi. Nggak ngeluarin duit banyak. Aku ? Selaw aja dulu wkkw,Ponorogo-Malang
