,tweet,asal_tweet
66,Kakakku datang dari toraja dipeluk2 Saya datang dari makassar disuruh mandi cuci baju masuk kamar Corona tai,"Makassar, Indonesia"
67,semenjak corona jadi gini,"Makassar, Sulawesi Selatan"
68,orang apa Sebelum corona udah mau,📍Makassar - indonesia
69,apa kabar aku 2000 udah sarjana jalur corona,"Makasar, Indonesia"
70,Rusukmu kena corona mungkin,"Makassar, Sulawesi Selatan"
71,ntar yah abis corona gas,"Makassar, Indonesia"
72,abis corona yah,"Makassar, Indonesia"
73,Berhasil tawwa nda ada efek samping Kebal dari corona Belum tau,"Makassar, Indonesia"
74,Hotel pada banting harga kamar tp Corona juga mengintai untuk ngebanting kita,"Makassar, Indonesia"
75,Masuk PTN jalur corona,Kota Makassar
76,kelar corona,"Makassar, Sulawesi Selatan"
77,ADjem yang penting kan nusantara salah satu pencegah corona adalah konde,Makassar
78,corona ga bakal hilang kecuali dia ganti nama corene,orang makassar ja
79,Ga lama gandeng tangan cewek yg sendiri juga wkwkwk Tapi corona ga boleh,"Makassar, Indonesia"
80,Emang bener bodol Lagian siapa yang bilang air wudu membunuh virus Corona,"Makassar, Indonesia"
81,Biasakan cuci tangan agar tidak tertular virus corona AyoBiasakanCuciTangan,Makassar
82,Benarkah anti virus corona,Makassar
83,MapOfTheSoulOne Apakah jika Corona tidak ada berarti konser di adakan 2 kali selamat satu tahun,"Makassar, Indonesia"
84,Biasakan cuci tangan agar tidak tertular virus corona AyoBiasakanCuciTangan,"Kota Makassar,Sulawesi Selatan"
85,Kriting IDI sibuk ngurus corona, MAKASSAR
86,Senyumpun sdh tak terlihat Berjabat tanganpun sdh tdk ada Corona adalaha pemutus silaturahmi no 1 didunia,"Kota Makassar, Sulawesi Selata"
87,Di Makassar ada yg bikin status jangankan virus corona polisi pun saya makan trus di tangkap dong sm polisi,"Makassar, Indonesia"
88,Gak ah Lagi musim corona Physical distancing,Makassar
89,Semngt untuk pergantian research methodnya dirikuuuu yokk cukup magerannya yok n thanks to youu corona,"Makassar, Indonesia"
90,Seakan akan orng2 semua menjelma menjadi monster corona harus pakai masker,Indonesia - Makassar
91,CARA MEMAKAI DAN MELEPAS MASKER DENGAN BENAR UNTUK MENCEGAH PENYEBARAN VIRUS CORONA Polri,Makassar
92,Tahun ini berat karena corona dan teman teman udah pada nikah semua,"Makassar, Indonesia"
93,ismail48 Edd wisudah corona,Indonesia-Sulawesi-Makassar
94,Biasakanki Cuci Tangan Ta pake sabun untuk basmi corona,"Kota Makassar,Sulawesi Selatan"
95,Lebih bahaya diluar corona bos,"Makassar, Indonesia"
96,Pengajian tentang corona,Makassar
97,Story IGku Post FB Bukan lagi tentang Tante corona tapi Isinya org Nikahan semua,makassar
